Make,Model,Year,Fuel,HP,Cylinders,Trans,DT,Doors,MCAT,Size,Style,Highway,City,Popularity,MSRP
CHR,200,2015,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,21995
CHR,200,2015,FRE85,184,4,A,F,4,"Flex Fuel,Performance",M,S,36,23,1013,26625
CHR,200,2015,FRE85,295,6,A,A,4,"Flex Fuel,Performance",M,S,29,18,1013,30825
CHR,200,2016,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,21995
CHR,200,2016,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,27795
CHR,200,2016,FRE85,295,6,A,A,4,"Flex Fuel,Performance",M,S,29,18,1013,31785
CHR,200,2016,FRE85,295,6,A,A,4,"Flex Fuel,Performance",M,S,29,18,1013,29905
CHR,200,2016,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,22490
CHR,200,2016,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,27570
CHR,200,2016,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,25690
CHR,200,2016,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,24490
CHR,200,2017,FRE85,295,6,A,A,4,"Flex Fuel,Performance",M,S,28,18,1013,29905
CHR,200,2017,FRE85,295,6,A,A,4,"Flex Fuel,Performance",M,S,28,18,1013,31785
CHR,200,2017,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,26685
CHR,200,2017,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,22490
CHR,200,2017,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,25690
CHR,200,2017,FRE85,295,6,A,A,4,"Flex Fuel,Performance",M,S,28,18,1013,30900
CHR,200,2017,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,27795
CHR,200,2017,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,21995
CHR,200,2017,FRE85,184,4,A,F,4,Flex Fuel,M,S,36,23,1013,24490
NIS,200SX,1996,R,115,4,M,F,2,N,C,COU,36,26,2009,2000
NIS,200SX,1996,R,115,4,M,F,2,N,C,COU,36,26,2009,2000
NIS,200SX,1996,R,140,4,M,F,2,Performance,C,COU,29,21,2009,2000
NIS,200SX,1997,R,140,4,M,F,2,Performance,C,COU,29,21,2009,2000
NIS,200SX,1997,R,115,4,M,F,2,N,C,COU,35,25,2009,2000
NIS,200SX,1997,R,115,4,M,F,2,N,C,COU,35,25,2009,2000
NIS,200SX,1998,R,115,4,M,F,2,N,C,COU,35,25,2009,2000
NIS,200SX,1998,R,115,4,M,F,2,N,C,COU,35,25,2009,2000
NIS,200SX,1998,R,140,4,M,F,2,Performance,C,COU,28,20,2009,2073
NIS,240SX,1996,R,155,4,M,R,2,Performance,C,COU,26,19,2009,3713
NIS,240SX,1996,R,155,4,M,R,2,Performance,C,COU,26,19,2009,3520
NIS,240SX,1997,R,155,4,M,R,2,Performance,C,COU,26,19,2009,3910
NIS,240SX,1997,R,155,4,M,R,2,Performance,C,COU,26,19,2009,4182
NIS,240SX,1997,R,155,4,M,R,2,Performance,C,COU,26,19,2009,4107
NIS,240SX,1998,R,155,4,M,R,2,Performance,C,COU,25,20,2009,4299
NIS,240SX,1998,R,155,4,M,R,2,Performance,C,COU,25,20,2009,4693
NIS,240SX,1998,R,155,4,M,R,2,Performance,C,COU,25,20,2009,4107
VOL,240,1991,R,114,4,M,R,4,Luxury,M,W,26,19,870,2000
VOL,240,1991,R,114,4,A,R,4,Luxury,M,W,23,18,870,2000
VOL,240,1991,R,114,4,M,R,4,Luxury,M,S,26,19,870,2000
VOL,240,1992,R,114,4,M,R,4,Luxury,M,S,26,19,870,2000
VOL,240,1992,R,114,4,M,R,4,Luxury,M,W,26,19,870,2000
VOL,240,1992,R,114,4,M,R,4,Luxury,M,S,26,19,870,2000
VOL,240,1993,R,114,4,M,R,4,Luxury,M,S,26,19,870,2000
VOL,240,1993,R,114,4,M,R,4,Luxury,M,W,25,18,870,2000
MAZ,2,2012,R,100,4,M,F,4,Hatchback,C,4H,35,29,586,16020
MAZ,2,2012,R,100,4,M,F,4,Hatchback,C,4H,35,29,586,14530
MAZ,2,2012,R,100,4,A,F,4,Hatchback,C,4H,34,28,586,16860
MAZ,2,2012,R,100,4,A,F,4,Hatchback,C,4H,34,28,586,15370
MAZ,2,2013,R,100,4,A,F,4,Hatchback,C,4H,34,28,586,17050
MAZ,2,2013,R,100,4,A,F,4,Hatchback,C,4H,34,28,586,15560
MAZ,2,2013,R,100,4,M,F,4,Hatchback,C,4H,35,29,586,16210
MAZ,2,2013,R,100,4,M,F,4,Hatchback,C,4H,35,29,586,14720
MAZ,2,2014,R,100,4,A,F,4,Hatchback,C,4H,34,28,586,17050
MAZ,2,2014,R,100,4,A,F,4,Hatchback,C,4H,34,28,586,15560
MAZ,2,2014,R,100,4,M,F,4,Hatchback,C,4H,35,29,586,16210
MAZ,2,2014,R,100,4,M,F,4,Hatchback,C,4H,35,29,586,14720
BMW,3 Series Gran Turismo,2015,PQ,300,6,A,A,4,"Hatchback,Luxury,Performance",M,4H,30,20,3916,47250
BMW,3 Series Gran Turismo,2015,PQ,240,4,A,A,4,"Hatchback,Luxury",M,4H,33,22,3916,41850
BMW,3 Series Gran Turismo,2015,PQ,240,4,A,A,4,"Hatchback,Luxury",M,4H,33,22,3916,41850
BMW,3 Series Gran Turismo,2016,PQ,240,4,A,A,4,"Hatchback,Luxury",M,4H,34,22,3916,43000
BMW,3 Series Gran Turismo,2016,PQ,300,6,A,A,4,"Hatchback,Luxury,Performance",M,4H,30,20,3916,49200
BMW,3 Series Gran Turismo,2017,PQ,320,6,A,A,4,"Hatchback,Luxury,Performance",M,4H,30,20,3916,49650
BMW,3 Series Gran Turismo,2017,PQ,248,4,A,A,4,"Hatchback,Luxury",M,4H,33,23,3916,43950
BMW,3 Series,2015,PQ,241,4,A,A,4,Luxury,M,W,33,22,3916,41950
BMW,3 Series,2015,PQ,335,6,A,R,4,"Luxury,High-Performance,Hybrid",M,S,33,25,3916,50150
BMW,3 Series,2015,PQ,240,4,A,R,4,"Luxury,Performance",M,S,35,23,3916,37500
BMW,3 Series,2015,PQ,300,6,A,R,4,"Luxury,High-Performance",M,S,32,21,3916,43750
BMW,3 Series,2015,D,180,4,A,R,4,"Diesel,Luxury",M,S,45,32,3916,39000
BMW,3 Series,2015,PQ,240,4,A,A,4,Luxury,M,S,33,22,3916,39500
BMW,3 Series,2015,PQ,240,4,A,A,4,Luxury,M,S,33,22,3916,39500
BMW,3 Series,2015,PQ,180,4,A,A,4,Luxury,M,S,35,23,3916,34950
BMW,3 Series,2015,PQ,300,6,A,A,4,"Luxury,Performance",M,S,30,20,3916,45750
BMW,3 Series,2015,D,180,4,A,A,4,"Diesel,Luxury",M,W,43,31,3916,43450
BMW,3 Series,2015,PQ,240,4,A,R,4,"Luxury,Performance",M,S,35,23,3916,37500
BMW,3 Series,2015,D,180,4,A,A,4,"Diesel,Luxury",M,S,43,31,3916,41000
BMW,3 Series,2015,PQ,180,4,A,R,4,Luxury,M,S,36,24,3916,32950
BMW,3 Series,2016,D,180,4,A,A,4,"Diesel,Luxury",M,S,40,30,3916,41850
BMW,3 Series,2016,PQ,320,6,A,A,4,"Luxury,High-Performance",M,S,33,22,3916,47800
BMW,3 Series,2016,D,180,4,A,R,4,"Diesel,Luxury",M,S,42,32,3916,39850
BMW,3 Series,2016,PQ,240,4,A,R,4,"Luxury,Performance",M,S,34,22,3916,38350
BMW,3 Series,2016,PQ,240,4,A,A,4,Luxury,M,S,34,22,3916,40350
BMW,3 Series,2016,PQ,240,4,M,R,4,"Luxury,Performance",M,S,34,22,3916,38350
BMW,3 Series,2016,PQ,240,4,A,A,4,Luxury,M,W,34,22,3916,42650
BMW,3 Series,2016,PQ,180,4,A,R,4,Luxury,M,S,36,24,3916,33150
BMW,3 Series,2016,PQ,180,4,A,A,4,Luxury,M,S,35,23,3916,35150
BMW,3 Series,2016,D,180,4,A,A,4,"Diesel,Luxury",M,W,40,30,3916,44150
BMW,3 Series,2016,PQ,320,6,A,R,4,"Luxury,High-Performance",M,S,33,22,3916,45800
BMW,3 Series,2017,PC,248,4,A,R,4,"Luxury,Performance",M,S,34,23,3916,38750
BMW,3 Series,2017,PC,180,4,A,A,4,Luxury,M,S,34,23,3916,35450
BMW,3 Series,2017,PC,180,4,A,R,4,Luxury,M,S,35,23,3916,33450
BMW,3 Series,2017,PC,248,4,A,A,4,Luxury,M,S,33,23,3916,40750
BMW,3 Series,2017,D,180,4,A,A,4,"Diesel,Luxury",M,S,40,30,3916,42250
BMW,3 Series,2017,PC,248,4,A,A,4,Luxury,M,W,33,23,3916,42950
BMW,3 Series,2017,D,180,4,A,R,4,"Diesel,Luxury",M,S,42,32,3916,40250
BMW,3 Series,2017,PC,320,6,A,A,4,"Luxury,Performance",M,S,31,21,3916,49900
BMW,3 Series,2017,PC,320,6,A,R,4,"Luxury,High-Performance",M,S,32,21,3916,47900
BMW,3 Series,2017,D,180,4,A,A,4,"Diesel,Luxury",M,W,40,30,3916,44450
MB,300-Class,1991,R,177,6,A,R,4,Luxury,L,S,19,15,617,2232
MB,300-Class,1991,R,177,6,A,R,4,Luxury,M,W,20,15,617,2000
MB,300-Class,1991,R,158,6,A,R,4,Luxury,M,S,22,17,617,2000
MB,300-Class,1991,R,177,6,A,A,4,Luxury,M,S,20,15,617,2105
MB,300-Class,1991,R,177,6,A,A,4,Luxury,M,W,18,15,617,2199
MB,300-Class,1991,R,177,6,A,R,4,Luxury,M,S,22,16,617,2000
MB,300-Class,1991,R,177,6,A,R,4,Luxury,L,S,19,15,617,2124
MB,300-Class,1991,R,228,6,M,R,2,"Luxury,Performance",C,CON,21,14,617,3552
MB,300-Class,1991,R,217,6,A,R,2,Luxury,M,COU,22,15,617,2179
MB,300-Class,1991,D,121,5,A,R,4,"Diesel,Luxury",M,S,30,23,617,2000
MB,300-Class,1992,D,121,5,A,R,4,"Diesel,Luxury",M,S,29,23,617,2000
MB,300-Class,1992,R,228,6,A,R,4,Luxury,L,S,17,14,617,2377
MB,300-Class,1992,R,228,6,M,R,2,"Luxury,Performance",C,CON,21,15,617,3814
MB,300-Class,1992,R,177,6,A,A,4,Luxury,M,S,19,15,617,2207
MB,300-Class,1992,R,177,6,A,R,4,Luxury,M,W,20,15,617,2000
MB,300-Class,1992,R,217,6,A,R,2,Luxury,M,COU,21,15,617,2248
MB,300-Class,1992,R,177,6,A,R,4,Luxury,M,S,22,16,617,2065
MB,300-Class,1992,D,148,6,A,R,4,"Diesel,Luxury",L,S,22,18,617,2547
MB,300-Class,1992,R,177,6,A,A,4,Luxury,M,W,18,15,617,2282
MB,300-Class,1992,R,158,6,A,R,4,Luxury,M,S,23,18,617,2000
MB,300-Class,1993,R,177,6,A,A,4,Luxury,M,W,19,15,617,2544
MB,300-Class,1993,R,217,6,A,R,2,Luxury,M,COU,22,17,617,2397
MB,300-Class,1993,D,121,5,A,R,4,"Diesel,Luxury",M,S,30,23,617,2000
MB,300-Class,1993,R,228,6,M,R,2,"Luxury,Performance",C,CON,21,14,617,4174
MB,300-Class,1993,R,217,6,A,R,4,Luxury,M,S,22,17,617,2187
MB,300-Class,1993,D,148,6,A,R,4,"Diesel,Luxury",L,S,22,18,617,2729
MB,300-Class,1993,R,177,6,A,A,4,Luxury,M,S,19,15,617,2433
MB,300-Class,1993,R,194,6,A,R,4,Luxury,M,S,23,17,617,2247
MB,300-Class,1993,R,228,6,A,R,4,Luxury,L,S,18,14,617,2540
MITS,3000GT,1997,R,218,6,M,F,2,"Hatchback,Performance",C,2H,23,17,436,3941
MITS,3000GT,1997,R,161,6,M,F,2,Hatchback,C,2H,22,17,436,3295
MITS,3000GT,1997,R,320,6,M,A,2,"Hatchback,Factory Tuner,Performance",C,2H,22,16,436,6008
MITS,3000GT,1998,R,320,6,M,A,2,"Hatchback,Factory Tuner,Performance",C,2H,22,16,436,6710
MITS,3000GT,1998,R,161,6,M,F,2,Hatchback,C,2H,22,17,436,3701
MITS,3000GT,1998,R,218,6,M,F,2,"Hatchback,Performance",C,2H,23,17,436,4671
MITS,3000GT,1999,R,218,6,M,F,2,"Hatchback,Performance",C,2H,23,17,436,5306
MITS,3000GT,1999,R,320,6,M,A,2,"Hatchback,Factory Tuner,Performance",C,2H,22,16,436,7600
MITS,3000GT,1999,R,161,6,M,F,2,Hatchback,C,2H,22,17,436,4090
CHR,300,2015,R,300,6,A,A,4,N,L,S,27,18,1013,37570
CHR,300,2015,R,292,6,A,R,4,N,L,S,31,19,1013,31695
CHR,300,2015,R,292,6,A,R,4,N,L,S,31,19,1013,38070
CHR,300,2015,R,292,6,A,A,4,N,L,S,27,18,1013,44895
CHR,300,2015,R,300,6,A,R,4,Performance,L,S,31,19,1013,35070
CHR,300,2015,R,292,6,A,R,4,Performance,L,S,31,19,1013,42395
CHR,300,2015,R,292,6,A,A,4,N,L,S,27,18,1013,34195
CHR,300,2015,R,292,6,A,A,4,N,L,S,27,18,1013,40570
CHR,300,2016,R,300,6,A,A,4,N,L,S,27,18,1013,38095
CHR,300,2016,R,300,6,A,R,4,Performance,L,S,31,19,1013,35595
CHR,300,2016,R,292,6,A,A,4,N,L,S,27,18,1013,45190
CHR,300,2016,R,292,6,A,R,4,N,L,S,31,19,1013,32260
CHR,300,2016,R,292,6,A,A,4,N,L,S,27,18,1013,37755
CHR,300,2016,R,292,6,A,A,4,N,L,S,27,18,1013,41055
CHR,300,2016,R,300,6,A,R,4,Performance,L,S,31,19,1013,36090
CHR,300,2016,R,292,6,A,R,4,Performance,L,S,31,19,1013,42690
CHR,300,2016,R,292,6,A,R,4,N,L,S,31,19,1013,38555
CHR,300,2016,R,292,6,A,R,4,N,L,S,31,19,1013,35255
CHR,300,2016,R,300,6,A,A,4,N,L,S,27,18,1013,38590
CHR,300,2016,R,292,6,A,A,4,N,L,S,27,18,1013,34760
CHR,300,2017,R,292,6,A,A,4,N,L,S,27,18,1013,41135
CHR,300,2017,R,292,6,A,A,4,N,L,S,27,18,1013,45270
CHR,300,2017,R,300,6,A,A,4,N,L,S,27,18,1013,38670
CHR,300,2017,R,292,6,A,R,4,Performance,L,S,30,19,1013,38635
CHR,300,2017,R,300,6,A,R,4,Performance,L,S,30,19,1013,36170
CHR,300,2017,R,300,6,A,A,4,N,L,S,27,18,1013,38175
CHR,300,2017,R,292,6,A,R,4,N,L,S,30,19,1013,32340
CHR,300,2017,R,292,6,A,R,4,Performance,L,S,30,19,1013,42770
CHR,300,2017,R,292,6,A,A,4,N,L,S,27,18,1013,34840
CHR,300,2017,R,300,6,A,R,4,Performance,L,S,30,19,1013,35675
CHR,300M,2002,PQ,250,6,A,F,4,Performance,L,S,24,16,1013,32065
CHR,300M,2002,PQ,250,6,A,F,4,Performance,L,S,24,16,1013,28540
CHR,300M,2003,PQ,255,6,A,F,4,Performance,L,S,25,16,1013,32315
CHR,300M,2003,R,250,6,A,F,4,Performance,L,S,25,16,1013,28885
CHR,300M,2004,R,250,6,A,F,4,Performance,L,S,25,16,1013,29185
CHR,300M,2004,PQ,255,6,A,F,4,Performance,L,S,25,16,1013,32615
NIS,300ZX,1994,R,222,6,M,R,2,Performance,C,CON,22,16,2009,2847
NIS,300ZX,1994,R,222,6,M,R,2,Performance,C,COU,22,16,2009,2488
NIS,300ZX,1994,R,300,6,M,R,2,"Hatchback,Performance",C,2H,22,16,2009,2683
NIS,300ZX,1994,R,222,6,M,R,2,Performance,C,COU,22,16,2009,2553
NIS,300ZX,1995,R,300,6,M,R,2,Performance,C,COU,22,16,2009,3049
NIS,300ZX,1995,R,222,6,M,R,2,Performance,C,COU,22,17,2009,2774
NIS,300ZX,1995,R,222,6,M,R,2,Performance,C,COU,22,17,2009,2702
NIS,300ZX,1995,R,222,6,M,R,2,Performance,C,CON,22,17,2009,3101
NIS,300ZX,1996,R,300,6,M,R,2,Performance,C,COU,22,16,2009,3510
NIS,300ZX,1996,R,222,6,M,R,2,Performance,C,COU,22,17,2009,3107
NIS,300ZX,1996,R,222,6,M,R,2,Performance,C,CON,22,17,2009,3624
NIS,300ZX,1996,R,222,6,M,R,2,Performance,C,COU,22,17,2009,3185
MAZ,323,1992,R,82,4,M,F,2,Hatchback,C,2H,33,25,586,2000
MAZ,323,1992,R,82,4,M,F,2,Hatchback,C,2H,33,25,586,2000
MAZ,323,1993,R,82,4,M,F,2,Hatchback,C,2H,33,25,586,2000
MAZ,323,1993,R,82,4,M,F,2,Hatchback,C,2H,32,24,586,2000
MAZ,323,1994,R,82,4,M,F,2,Hatchback,C,2H,33,25,586,2000
MB,350-Class,1990,D,134,6,A,R,4,"Diesel,Luxury",L,S,23,19,617,2144
MB,350-Class,1990,D,134,6,A,R,4,"Diesel,Luxury",L,S,23,19,617,2098
MB,350-Class,1991,D,134,6,A,R,4,"Diesel,Luxury",L,S,23,19,617,2178
MB,350-Class,1991,D,134,6,A,R,4,"Diesel,Luxury",L,S,23,19,617,2311
NIS,350Z,2007,R,306,6,A,R,2,High-Performance,C,CON,23,17,2009,36550
NIS,350Z,2007,R,306,6,A,R,2,High-Performance,C,CON,23,17,2009,41250
NIS,350Z,2007,R,306,6,A,R,2,High-Performance,C,COU,24,17,2009,30600
NIS,350Z,2007,R,306,6,A,R,2,High-Performance,C,COU,24,17,2009,37100
NIS,350Z,2007,R,306,6,M,R,2,High-Performance,C,COU,25,18,2009,27900
NIS,350Z,2007,R,306,6,M,R,2,High-Performance,C,COU,25,18,2009,32700
NIS,350Z,2007,R,306,6,M,R,2,High-Performance,C,CON,24,17,2009,40250
NIS,350Z,2007,R,306,6,M,R,2,High-Performance,C,CON,24,17,2009,35550
NIS,350Z,2007,R,306,6,M,R,2,High-Performance,C,COU,25,18,2009,36100
NIS,350Z,2007,R,306,6,A,R,2,High-Performance,C,COU,24,17,2009,33200
NIS,350Z,2007,R,306,6,M,R,2,High-Performance,C,CON,24,17,2009,37900
NIS,350Z,2007,R,306,6,M,R,2,High-Performance,C,COU,25,18,2009,29600
NIS,350Z,2007,R,306,6,M,R,2,"Factory Tuner,High-Performance",C,COU,25,18,2009,38070
NIS,350Z,2007,R,306,6,A,R,2,High-Performance,C,CON,23,17,2009,38900
NIS,350Z,2008,R,306,6,A,R,2,High-Performance,C,COU,24,17,2009,33840
NIS,350Z,2008,R,306,6,M,R,2,High-Performance,C,CON,24,17,2009,38630
NIS,350Z,2008,R,306,6,A,R,2,High-Performance,C,CON,23,17,2009,39630
NIS,350Z,2008,R,306,6,A,R,2,High-Performance,C,COU,24,17,2009,37740
NIS,350Z,2008,R,306,6,A,R,2,High-Performance,C,CON,23,17,2009,41980
NIS,350Z,2008,R,306,6,M,R,2,High-Performance,C,CON,24,17,2009,36280
NIS,350Z,2008,R,306,6,M,R,2,High-Performance,C,COU,25,18,2009,36740
NIS,350Z,2008,R,306,6,M,R,2,High-Performance,C,CON,24,17,2009,40980
NIS,350Z,2008,R,306,6,M,R,2,"Factory Tuner,High-Performance",C,COU,25,18,2009,38680
NIS,350Z,2008,R,306,6,M,R,2,High-Performance,C,COU,25,18,2009,28510
NIS,350Z,2008,R,306,6,M,R,2,High-Performance,C,COU,25,18,2009,30210
NIS,350Z,2008,R,306,6,A,R,2,High-Performance,C,COU,24,17,2009,31210
NIS,350Z,2008,R,306,6,M,R,2,High-Performance,C,COU,25,18,2009,33340
NIS,350Z,2008,R,306,6,A,R,2,High-Performance,C,CON,23,17,2009,37280
NIS,350Z,2009,R,306,6,M,R,2,High-Performance,C,CON,24,17,2009,41570
NIS,350Z,2009,R,306,6,M,R,2,High-Performance,C,CON,24,17,2009,36870
NIS,350Z,2009,R,306,6,A,R,2,High-Performance,C,CON,23,17,2009,42570
NIS,350Z,2009,R,306,6,A,R,2,High-Performance,C,CON,23,17,2009,37870
NIS,350Z,2009,R,306,6,M,R,2,High-Performance,C,CON,24,17,2009,39220
NIS,350Z,2009,R,306,6,A,R,2,High-Performance,C,CON,23,17,2009,40220
FERR,360,2002,PQ,400,8,M,R,2,"Exotic,High-Performance",C,CON,15,10,2774,160829
FERR,360,2002,PQ,400,8,M,R,2,"Exotic,High-Performance",C,COU,15,10,2774,140615
FERR,360,2002,PQ,400,8,AMT,R,2,"Exotic,High-Performance",C,COU,15,10,2774,150694
FERR,360,2002,PQ,400,8,AMT,R,2,"Exotic,High-Performance",C,CON,15,10,2774,170829
FERR,360,2003,PQ,400,8,M,R,2,"Exotic,High-Performance",C,CON,15,10,2774,165986
FERR,360,2003,PQ,400,8,AMT,R,2,"Exotic,High-Performance",C,COU,15,10,2774,154090
FERR,360,2003,PQ,400,8,M,R,2,"Exotic,High-Performance",C,COU,15,10,2774,143860
FERR,360,2003,PQ,400,8,AMT,R,2,"Exotic,High-Performance",C,CON,15,10,2774,176287
FERR,360,2004,PQ,400,8,AMT,R,2,"Exotic,High-Performance",C,COU,15,10,2774,157767
FERR,360,2004,PQ,425,8,AMT,R,2,"Exotic,Factory Tuner,High-Performance",C,COU,15,10,2774,187124
FERR,360,2004,PQ,400,8,M,R,2,"Exotic,High-Performance",C,COU,15,10,2774,147332
FERR,360,2004,PQ,400,8,M,R,2,"Exotic,High-Performance",C,CON,15,10,2774,169900
